#Species	Ordered Freq (MHz) (rest frame)	Resolved QNs	CDMS/JPL Intensity	Lovas/AST Intensity	E_L (cm^-1)	E_L (K)	Linelist
SO3&Sigma;v=0	389120.9186	10(9)-9(8)	-1.6743		54.7518	78.7752	JPL
CSv=0	391846.8898	8-7	-1.0213		45.7525	65.8273	CDMS
H2S	392617.84	3(1,3)-2(2,0)	-4.8861		58.3689	83.9804	CDMS
H2S	393450.49	2(1,1)-2(0,2)	-2.7364		38.0161	54.697	CDMS
SO3&Sigma;v=0	397987.5318	7(8)-8(7)	-5.2255		43.1928	62.1444	JPL
SO3&Sigma;v=0	405376.5436	3(4)-3(2)	-5.7501		6.4122	9.2257	JPL
H2CS	405595.1669	12(1,12)-11(1,11)	-1.9389		83.611	120.2969	JPL
H2S	407676.73	5(4,1)-5(3,2)	-2.1342		263.7389	379.4639	CDMS
SO3&Sigma;v=0	408636.195	2(3)-1(0)	-3.8926		1.0007	1.4398	JPL
SO3&Sigma;v=0	409959.5775	5(5)-5(4)	-3.5873		16.979	24.4289	JPL
H2CS	411231.555	12(0,12)-11(0,11)	-2.3845		75.543	108.6889	JPL
H2CS	411813.7368	12(5,8)-11(5,7)	-2.4623		302.8062	435.6681	JPL
H2CS	411813.7369	12(5,7)-11(5,6)	-2.4623		302.8062	435.6681	JPL
H2CS	411898.6652	12(2,11)-11(2,10)	-2.4717		112.2243	161.4648	JPL
H2CS	411947.0968	12(4,9)-11(4,8)	-2.738		221.4839	318.6641	JPL
H2CS	411947.1471	12(4,8)-11(4,7)	-2.738		221.4839	318.6641	JPL
H2CS	412078.7401	12(3,10)-11(3,9)	-2.1051		157.8752	227.1459	JPL
H2CS	412089.3624	12(3,9)-11(3,8)	-2.105		157.8758	227.1468	JPL
H2CS	412747.6754	12(2,10)-11(2,9)	-2.47		112.2953	161.567	JPL
13CSv=0	416125.2751	9-8	-0.9643		55.5295	79.8941	CDMS
H2CS	418125.7081	12(1,11)-11(1,10)	-1.9177		85.9129	123.6088	JPL
SO3&Sigma;v=0	419816.2134	12(13)-12(12)	-3.7468		121.0896	174.2199	JPL
H2CO	421595.6361	7(2,5)-8(0,8)	-5.2273		86.9621	125.1183	CDMS
H2CO	421920.772	6(1,6)-5(1,5)	-1.5127		43.4067	62.4522	CDMS
H2S	424314.82	4(4,0)-4(3,1)	-2.6847		182.6485	262.7922	CDMS
OHv=0	425036.2987	J=7/2-3/2, &Omega;=3/2-1/2, F=3--2+	-15.7838		187.755	270.1393	JPL
SO3&Sigma;v=0	428110.4589	9(10)-8(9)	-1.6709		69.2947	99.699	JPL
HC15Nv=0	430235.7675	5-4	-0.4984		28.7039	41.2983	JPL
SO3&Sigma;v=0	430339.338	10(10)-9(9)	-1.6306		73.7229	106.0702	JPL
H13CNv=0	431659.7748	J=5-4	-0.524		28.7989	41.4355	CDMS
SO3&Sigma;v=0	431808.1008	11(10)-10(9)	-1.5708		67.7314	97.4498	JPL
DCO+v=0	432189.0052	J=6-5	-0.2755		36.043	51.8575	CDMS
CCD	432729.6351	N=6-5,J=13/2-11/2,F=15/2-13/2	-2.3722		36.0866	51.9209	CDMS
H2CO	433677.727	13(1,12)-13(1,13)	-3.434		221.181	318.2283	CDMS
H13CO+	433733.8327	5-4	-0.2562		28.9372	41.6339	CDMS
C34Sv=0	433750.763	9-8	-0.9156		57.8819	58.3491	CDMS
DCNv=0	434441.0133	J=6-5	-0.5014		36.2308	52.1277	JPL
H2CO	434492.995	6(0,6)-5(0,5)	-1.9381		36.3592	52.3125	CDMS
SO3&Sigma;v=0	435986.1191	8(9)-9(8)	-5.2982		54.7518	78.7752	JPL
H2S	436373.36	5(1,4)-4(4,1)	-4.9968		195.6614	281.5149	CDMS
H2CO	436586.486	6(2,5)-5(2,4)	-2.0532		69.1824	99.5375	CDMS
CCHv=0	436660.3711	N=5-4,J=11/2-9/2,F=6-5	-2.1535		29.1324	41.9148	JPL
H2CO	436751.04	6(5,2)-5(5,1)	-2.3969		240.7771	346.4225	CDMS
H2CO	436751.04	6(5,1)-5(5,0)	-2.3969		240.7771	346.4225	CDMS
H2CO	436957.406	6(4,2)-5(4,1)	-2.4609		167.3146	240.727	CDMS
H2CO	436957.406	6(4,3)-5(4,2)	-2.4609		167.3146	240.727	CDMS
H2CO	437199.519	6(3,4)-5(3,3)	-1.7339		110.1086	158.4208	CDMS
H2CO	437235.976	6(3,3)-5(3,2)	-1.7338		110.1092	158.4217	CDMS
H2CO	439057.786	6(2,4)-5(2,3)	-2.0485		69.2652	99.6566	CDMS
C18O	439088.7658	4-3	-3.3231		21.971	31.6112	CDMS
H2CS	439332.5981	13(1,13)-12(1,12)	-1.8637		97.1402	139.7623	JPL
C15N	439727.6923	N=4-3,J=9/2-7/2,F=5-4	-1.5989		22.0091	31.666	CDMS
13COv=0	440765.1735	4-3	-3.3187		22.0549	31.7319	CDMS
CSv=0	440803.232	9-8	-0.8968		58.8231	84.6328	CDMS
HCNv=0	443116.1493	J=5-4	-0.4896		29.5633	42.5347	CDMS
H2CS	445316.1701	13(0,13)-12(0,12)	-2.3103		89.2602	128.4248	JPL
HCO+v=0	445902.8721	5-4	-0.2382		29.7491	42.8021	CDMS
H2CS	446113.6553	13(5,9)-12(5,8)	-2.3745		316.5429	455.432	JPL
H2CS	446113.6555	13(5,8)-12(5,7)	-2.3745		316.5429	455.432	JPL
H2CS	446171.3168	13(2,12)-12(2,11)	-2.3955		125.9637	181.2326	JPL
H2CS	446261.7862	13(4,10)-12(4,9)	-2.6557		235.225	338.4344	JPL
H2CS	446261.8755	13(4,9)-12(4,8)	-2.6557		235.225	338.4344	JPL
OHv=0	446291.0611	J=7/2-3/2, &Omega;=3/2-1/2, F=3+-2-	-12.7303		187.4941	269.7639	JPL
H2CS	446411.3646	13(3,11)-12(3,10)	-2.0263		171.6207	246.9225	JPL
H2CS	446427.2889	13(3,10)-12(3,9)	-2.0263		171.6216	246.9238	JPL
H2CS	447249.8867	13(2,11)-12(2,10)	-2.3936		126.0631	181.3756	JPL
H2Ov=0	448001.0775	4(2,3)-3(3,0)	-2.5935		285.4186	410.6542	JPL
SO3&Sigma;v=0	448265.9932	6(6)-6(5)	-3.5495		24.3157	34.9847	JPL
C17O	449395.191	J=4-3,F=13/2-11/2	-3.8819		22.4867	32.3532	CDMS
H2CO	450844.4958	6(1,5)-5(1,4)	-1.4611		45.822	65.9273	CDMS
H2S	451946.97	5(5,0)-6(2,5)	-6.6774		281.6023	405.1655	CDMS
H2S	452390.33	1(1,1)-0(0,0)	-2.6116		0	0	CDMS
H2CS	452899.7735	13(1,12)-12(1,11)	-1.8434		99.8601	143.6756	JPL
CNv=0	453606.6814	N=4-3,J=9/2-7/2,F=11/2-9/2	-1.6987		22.7028	32.6641	CDMS
COv=0	461040.7682	4-3	-3.2657	60	23.0695	33.1917	CDMS
H2S	461632.4196	5(2,3)-6(1,6)	-5.6384		227.945	327.9641	CDMS
SO3&Sigma;v=0	461754.5957	13(14)-13(13)	-3.744		139.7465	201.0629	JPL
13CSv=0	462334.2901	10-9	-0.8576	14.6	69.4099	99.8648	CDMS
N2D+	462603.852	J=6-5	-0.4957		38.5796	55.5071	CDMS
N2H+v=0	465824.947	J=5-4	-0.2884		31.0782	44.7143	JPL
SO3&Sigma;v=0	471537.3786	10(11)-9(10)	-1.5717		83.5749	120.2449	JPL
H2CS	473055.556	14(1,14)-13(1,13)	-1.7986		111.7947	160.8467	JPL
SO3&Sigma;v=0	473341.8641	11(11)-10(10)	-1.5371		88.0775	126.7231	JPL
SO3&Sigma;v=0	473373.9366	4(5)-4(3)	-5.6529		11.0213	15.8571	JPL
SO3&Sigma;v=0	474559.4412	12(11)-11(10)	-1.4823		82.135	118.1733	JPL
SO3&Sigma;v=0	474975.6593	9(10)-10(9)	-5.3699		67.7314	97.4498	JPL
H2CS	479357.5243	14(0,14)-13(0,13)	-2.2462		104.1144	149.7965	JPL
H2CS	480409.2748	14(5,10)-13(5,9)	-2.2999		331.4236	476.8419	JPL
H2CS	480409.2753	14(5,9)-13(5,8)	-2.2999		331.4236	476.8419	JPL
H2CS	480431.4559	14(2,13)-13(2,12)	-2.3297		140.8464	202.6454	JPL
H2CS	480573.0452	14(4,11)-13(4,10)	-2.5851		250.1107	359.8514	JPL
H2CS	480573.1971	14(4,10)-13(4,9)	-2.5851		250.1107	359.8514	JPL
H2CS	480741.8108	14(3,12)-13(3,11)	-1.9586		186.5114	268.3468	JPL
H2CS	480764.9581	14(3,11)-13(3,10)	-1.9586		186.5128	268.3488	JPL
H2CS	481776.6218	14(2,12)-13(2,11)	-2.3276		140.9817	202.8401	JPL
C34Sv=0	481915.8105	10-9	-0.8102	3.1	72.3502	72.9342	CDMS
H2CO	485227.5941	6(2,4)-7(0,7)	-5.2484		67.7252	97.4409	CDMS
H2CS	487656.686	14(1,13)-13(1,12)	-1.7793		114.9672	165.4112	JPL
SO3&Sigma;v=0	487708.3564	7(7)-7(6)	-3.5221		33.0499	47.5512	JPL
CSv=0	489750.921	10-9	-0.7919	11.7	73.5267	105.7879	CDMS
H2CO	491968.3687	7(1,7)-6(1,6)	-1.3408		57.4804	82.701	CDMS
H2S	493084.9084	5(3,3)-6(0,6)	-6.0718		227.9449	327.964	CDMS
H2CO	498308.1824	14(1,13)-14(1,14)	-3.4082		253.8233	365.193	CDMS
SO3&Sigma;v=0	503840.0719	14(15)-14(14)	-3.748		159.8368	229.9682	JPL
DCO+v=0	504200.1999	J=7-6	-0.1072		50.4593	72.5993	CDMS
SO3&Sigma;v=0	504676.4122	3(4)-2(1)	-3.8426		3.0999	4.46	JPL
CCD	504831.1849	N=7-6,J=15/2-13/2,F=17/2-15/2	-2.2149		50.5209	72.6888	CDMS
H2S	505565.23	2(2,1)-2(1,2)	-2.1987		38.2978	55.1023	CDMS
H2CO	505833.7155	7(0,7)-6(0,6)	-1.7719		50.8524	73.1648	CDMS
H2CS	506763.0954	15(1,15)-14(1,14)	-1.7425		127.5742	183.5498	JPL
DCNv=0	506827.4873	J=7-6	-0.3333		50.7222	72.9775	JPL
13CSv=0	508534.7391	11-10	-0.7671		84.8318	122.0533	CDMS
H2CO	509146.2429	7(2,6)-6(2,5)	-1.8714		83.7453	120.4901	CDMS
H2CO	509306.0248	7(6,1)-6(6,0)	-2.9544		344.9876	496.3573	CDMS
H2CO	509306.0248	7(6,2)-6(6,1)	-2.9544		344.9876	496.3573	CDMS
H2CO	509562.1193	7(5,3)-6(5,2)	-2.0239		255.3456	367.3832	CDMS
H2CO	509562.1211	7(5,2)-6(5,1)	-2.0239		255.3456	367.3832	CDMS
H2CO	509829.5531	7(4,4)-6(4,3)	-2.2093		181.8899	261.6975	CDMS
H2CO	509830.1477	7(4,3)-6(4,2)	-2.2093		181.8899	261.6975	CDMS
H2CO	510155.7382	7(3,5)-6(3,4)	-1.5289		124.692	179.4029	CDMS
H2CO	510237.8461	7(3,4)-6(3,3)	-1.5288		124.6938	179.4055	CDMS
SO3&Sigma;v=0	511522.9361	4(4)-3(2)	-5.9782		6.4122	9.2257	JPL
H2CO	513076.3527	7(2,5)-6(2,4)	-1.8651		83.9106	120.7279	CDMS
H2CS	513352.8718	15(0,15)-14(0,14)	-2.1913		120.104	172.8019	JPL
H2CS	514678.1306	15(2,14)-14(2,13)	-2.2734		156.8719	225.7024	JPL
H2CS	514700.2628	15(5,11)-14(5,10)	-2.2365		347.4483	499.8977	JPL
H2CS	514700.2638	15(5,10)-14(5,9)	-2.2365		347.4483	499.8977	JPL
SO3&Sigma;v=0	514704.9371	10(11)-11(10)	-5.441		82.135	118.1733	JPL
SO3&Sigma;v=0	514853.2107	11(12)-10(11)	-1.4876		99.3037	142.8751	JPL
H2CS	514880.6034	15(4,12)-14(4,11)	-2.5249		266.1409	382.9152	JPL
H2CS	514880.8518	15(4,11)-14(4,10)	-2.5249		266.1409	382.9152	JPL
H2CS	515069.7482	15(3,13)-14(3,12)	-1.9007		202.5472	291.4186	JPL
H2CS	515102.5153	15(3,12)-14(3,11)	-1.9006		202.5494	291.4217	JPL
HC15Nv=0	516261.4602	6-5	-0.2938		43.055	61.9462	JPL
H2CS	516329.1873	15(2,13)-14(2,12)	-2.271		157.052	225.9615	JPL
SO3&Sigma;v=0	516335.4166	12(12)-11(11)	-1.4576		103.8665	149.4399	JPL
SO3&Sigma;v=0	517354.3051	13(12)-12(11)	-1.4068		97.9646	140.9484	JPL
H13CNv=0	517969.821	J=6-5	-0.3194		43.1975	62.152	CDMS
H13CO+	520459.8843	6-5	-0.0518		43.405	62.4498	CDMS
H2CS	522394.966	15(1,14)-14(1,13)	-1.7243		131.2337	188.8149	JPL
CCHv=0	523970.4068	N=6-5,J=13/2-11/2,F=7-6	-1.9597		43.6978	62.871	JPL
H2CO	525665.8313	7(1,6)-6(1,5)	-1.2914		60.8605	87.5642	CDMS
SO3&Sigma;v=0	527941.1269	8(8)-8(7)	-3.503		43.1928	62.1444	JPL
C34Sv=0	530071.5537	11-10	-0.7212		88.4252	89.1389	CDMS
HCNv=0	531716.3479	J=6-5	-0.2859		44.344	63.8008	CDMS
HCO+v=0	535061.581	6-5	-0.0348		44.6228	64.2019	CDMS
H2S	535528.818	6(2,5)-5(3,2)	-4.7534		263.7389	379.4639	CDMS
CSv=0	538688.9972	11-10	-0.7034		89.8631	129.2922	CDMS
N2D+	539682.101	J=7-6	-0.3158		54.0104	77.7085	CDMS
H2CS	540454.3065	16(1,16)-15(1,15)	-1.6947		144.4779	207.8703	JPL
SO3&Sigma;v=0	546042.3609	15(16)-15(15)	-3.7581		181.3601	260.9352	JPL
SO3&Sigma;v=0	546594.3238	5(6)-5(4)	-5.5806		16.979	24.4289	JPL
H2CS	547299.6772	16(0,16)-15(0,15)	-2.1445		137.2276	197.4388	JPL
C18O	548831.0055	5-4	-3.0675		36.6174	52.684	CDMS
H2CS	548910.3923	16(2,15)-15(2,14)	-2.2254		174.0397	250.4029	JPL
H2CS	549184.1882	16(4,13)-15(4,12)	-2.4737		283.3154	407.6253	JPL
H2CS	549184.5812	16(4,12)-15(4,11)	-2.4737		283.3155	407.6255	JPL
H2CS	549394.8119	16(3,14)-15(3,13)	-1.8514		219.7281	316.1379	JPL
H2CS	549440.1425	16(3,13)-15(3,12)	-1.8513		219.7314	316.1427	JPL
C15N	549600.5086	N=5-4,J=11/2-9/2,F=6-5	-1.3572		36.6768	52.7694	CDMS
H2CS	550908.6786	16(2,14)-15(2,13)	-2.2228		174.2749	250.7413	JPL
13COv=0	550926.2851	5-4	-3.0632		36.7572	52.8851	CDMS
H2CO	552003.5202	5(2,3)-6(0,6)	-5.3268		50.8524	73.1648	CDMS
13CSv=0	554725.7657	12-11	-0.6908		101.7946	146.4589	CDMS
SO3&Sigma;v=0	554998.7066	11(12)-12(11)	-5.512		97.9646	140.9484	JPL
H2Ov=0	556935.9877	1(1,0)-1(0,1)	-0.8189		23.7944	34.2349	JPL
H2CS	557113.0985	16(1,15)-15(1,14)	-1.6777		148.6589	213.8858	JPL
SO3&Sigma;v=0	558086.9374	12(13)-11(12)	-1.4166		116.4774	167.584	JPL
N2H+v=0	558966.6656	J=6-5	-0.0867		46.6165	67.0704	JPL
H2CO	559267.9198	15(3,12)-16(1,15)	-4.7825		347.2922	499.6731	CDMS
SO3&Sigma;v=0	559319.1796	13(13)-12(12)	-1.3902		121.0896	174.2199	JPL
SO3&Sigma;v=0	560178.3311	14(13)-13(12)	-1.3428		115.2217	165.7774	JPL
C17O	561712.735	J=5-4,F=15/2-13/2	-3.6563		37.4769	53.9206	CDMS
H2CO	561899.3136	8(1,8)-7(1,7)	-1.2018		73.8907	106.3116	CDMS
H2CO	566608.7587	15(1,14)-15(1,15)	-3.3931		288.7653	415.4665	CDMS
CNv=0	566946.8933	N=5-4,J=11/2-9/2,F=13/2-11/2	-1.4637		37.8335	54.4337	CDMS
H2S	568050.557	3(3,1)-3(2,2)	-2.4965		96.3925	138.6882	CDMS
SO3&Sigma;v=0	568741.2727	9(9)-9(8)	-3.4909		54.7518	78.7752	JPL
NH3v=0	572498.1599	1(0)0s-0(0)0a	-1.5128		0	0	JPL
H2CS	574128.3165	17(1,17)-16(1,16)	-1.6544		162.5056	233.808	JPL
DCO+v=0	576202.0239	J=8-7	0.0293		67.2776	96.7969	CDMS
COv=0	576267.9305	5-4	-3.0118		38.4481	55.3179	CDMS
H2CO	576708.3107	8(0,8)-7(0,7)	-1.6377		67.7252	97.4409	CDMS
CCD	576921.3312	N=8-7,J=17/2-15/2,F=19/2-17/2	-2.0871		67.3603	96.9171	CDMS
C34Sv=0	578217.069	12-11	-0.6464		106.1065	106.963	CDMS
DCNv=0	579204.5636	J=8-7	-0.197		67.6282	97.3013	JPL
H2S	579799.042	5(5,0)-5(4,1)	-2.1653		277.3376	399.0295	CDMS
H2CS	581195.6534	17(0,17)-16(0,16)	-2.1051		155.4836	223.7049	JPL
H2CO	581611.8491	8(2,7)-7(2,6)	-1.7267		100.7286	144.9252	CDMS
H2CO	582382.0579	8(5,4)-7(5,3)	-1.7929		272.3427	391.8381	CDMS
H2CO	582382.0653	8(5,3)-7(5,2)	-1.7929		272.3427	391.8381	CDMS
H2CO	582722.8015	8(4,5)-7(4,4)	-2.0264		198.896	286.1653	CDMS
H2CO	582724.4354	8(4,4)-7(4,3)	-2.0264		198.896	286.1653	CDMS
H2CS	583127.2955	17(2,16)-16(2,15)	-2.1851		192.3494	276.7463	JPL
H2CO	583144.6021	8(3,6)-7(3,5)	-1.3704		141.7089	203.8863	CDMS
H2CO	583308.5465	8(3,5)-7(3,4)	-1.3702		141.7135	203.8929	CDMS
H2CS	583483.5244	17(4,14)-16(4,13)	-2.4308		301.6343	433.982	JPL
H2CS	583484.1286	17(4,13)-16(4,12)	-2.4308		301.6343	433.982	JPL
H2CS	583716.6014	17(3,15)-16(3,14)	-1.8099		238.0539	342.5045	JPL
H2CS	583778.0607	17(3,14)-16(3,13)	-1.8099		238.0587	342.5114	JPL
H2CS	585515.9421	17(2,15)-16(2,14)	-2.1822		192.6513	277.1807	JPL
H2CO	587453.6658	8(2,6)-7(2,5)	-1.7188		101.025	145.3516	CDMS
CSv=0	587616.485	12-11	-0.6292		107.8318	155.145	CDMS
SO3&Sigma;v=0	588337.9718	16(17)-16(16)	-3.7741		204.3161	293.9636	JPL
SO3&Sigma;v=0	588564.9447	5(5)-4(3)	-5.9372		11.0213	15.8571	JPL
H2CS	591809.5304	17(1,16)-16(1,15)	-1.6386		167.2422	240.6229	JPL
SO3&Sigma;v=0	595731.3389	12(13)-13(12)	-5.5834		115.2217	165.7774	JPL
H2CO	600330.5746	8(1,7)-7(1,6)	-1.1551		78.3948	112.792	CDMS
13CSv=0	600906.48	13-12	-0.6267		120.2983	173.0814	CDMS
SO3&Sigma;v=0	601257.5619	13(14)-12(13)	-1.3571		135.0931	194.3677	JPL
HC15Nv=0	602275.4469	7-6	-0.1318		60.2756	86.7226	JPL
SO3&Sigma;v=0	602292.3375	14(14)-13(13)	-1.3337		139.7465	201.0629	JPL
SO3&Sigma;v=0	603021.2173	15(14)-14(13)	-1.2891		133.9072	192.6615	JPL
H13CNv=0	604267.914	J=7-6	-0.1576		60.4751	87.0107	CDMS
H13CO+	607174.6456	7-6	0.1098	2.9	60.7657	87.4278	CDMS
H2CS	607784.2912	18(1,18)-17(1,17)	-1.621		181.6564	261.3615	JPL
SO3&Sigma;v=0	609959.692	10(10)-10(9)	-3.4851	17.2	67.7314	97.4498	JPL
CCHv=0	611264.992	N=7-6,J=15/2-13/2,F=8-7	-1.8061		61.1755	88.0174	JPL
H2S	611441.629	5(3,2)-5(2,3)	-1.8825		243.3434	350.1192	CDMS
SO3&Sigma;v=0	611552.5834	4(5)-3(2)	-3.852	3.7	6.4122	9.2257	JPL
H2CS	615038.7993	18(0,18)-17(0,17)	-2.0727		174.8702	251.5978	JPL
N2D+	616750.016	J=8-7	-0.166		72.0122	103.6089	CDMS
H2CS	617327.8989	18(2,17)-17(2,16)	-2.1518		211.8004	304.7318	JPL
H2CS	617778.3339	18(4,15)-17(4,14)	-2.3954		321.0972	461.9846	JPL
H2CS	617779.2396	18(4,14)-17(4,13)	-2.3954		321.0972	461.9846	JPL
H2CS	618034.6784	18(3,16)-17(3,15)	-1.7757		257.5246	370.5183	JPL
H2CS	618116.5324	18(3,15)-17(3,14)	-1.7756		257.5315	370.5283	JPL
H2CS	620151.5368	18(2,16)-17(2,15)	-2.1487		212.182	305.2808	JPL
HCNv=0	620304.0022	J=7-6	-0.1251		62.0802	89.319	CDMS
H2CO	621133.0617	4(2,2)-5(0,5)	-5.4785		36.3592	52.3125	CDMS
SO3&Sigma;v=0	623194.928	6(7)-6(5)	-5.5259		24.3157	34.9847	JPL
HCO+v=0	624208.3606	7-6	0.1258	14.3	62.4705	89.8806	CDMS
C34Sv=0	626351.384	13-12	-0.584	8.8	125.3937	126.4058	CDMS
H2CS	626482.6684	18(1,17)-17(1,16)	-1.6064		186.9828	269.025	JPL
SO3&Sigma;v=0	630708.3696	17(18)-17(17)	-3.7953		228.7043	329.0526	JPL
H2CO	631702.8273	9(1,9)-8(1,8)	-1.089		92.6337	133.2785	CDMS
CSv=0	636532.46	13-12	-0.5675	29.9	127.4326	183.346	CDMS
SO3&Sigma;v=0	636810.5697	13(14)-14(13)	-5.6553		133.9072	192.6615	JPL
H2CO	638263.261	16(1,15)-16(1,16)	-3.3878		326.0021	469.0416	CDMS
H2CS	641421.4364	19(1,19)-18(1,18)	-1.594		201.9299	290.5304	JPL
SO3&Sigma;v=0	644377.8137	14(15)-13(14)	-1.3077		155.1489	223.2234	JPL
SO3&Sigma;v=0	645254.0744	15(15)-14(14)	-1.2869	39.6	159.8368	229.9682	JPL
SO3&Sigma;v=0	645875.3578	16(15)-15(14)	-1.2447	39	154.0218	221.6017	JPL
13CSv=0	647076.15	14-13	-0.5735		140.3424	201.9202	CDMS
H2CO	647081.735	9(0,9)-8(0,8)	-1.5291		86.9621	125.1183	CDMS
DCO+v=0	648193.1357	J=9-8	0.1402		86.4976	124.45	CDMS
H2CO	648802.6539	14(3,11)-15(1,14)	-4.6846		307.6653	442.6592	CDMS
H2CS	648827.4378	19(0,19)-18(0,18)	-2.0467		195.3857	281.1148	JPL
CCD	648998.4459	N=9-8,J=19/2-17/2,F=21/2-19/2	-1.9832		86.6043	124.6051	CDMS
H2S	650374.186	4(4,1)-4(3,2)	-1.9741		173.9673	250.3018	CDMS
SO3&Sigma;v=0	651493.4553	11(11)-11(10)	-3.485	4.7	82.135	118.1733	JPL
H2CS	651511.2657	19(2,18)-18(2,17)	-2.125		232.3922	334.3586	JPL
DCNv=0	651570.8998	J=9-8	-0.0863		86.9483	125.0985	JPL
H2CS	652068.3353	19(4,16)-18(4,15)	-2.3667		341.704	491.633	JPL
H2CS	652069.6625	19(4,15)-18(4,14)	-2.3667		341.7041	491.6332	JPL
N2H+v=0	652095.8651	J=7-6	0.0719		65.2616	93.8963	JPL
H2CS	652348.5665	19(3,17)-18(3,16)	-1.7482		278.14	400.1791	JPL
H2CS	652455.8641	19(3,16)-18(3,15)	-1.748		278.1496	400.1929	JPL
H2CO	653970.155	9(2,8)-8(2,7)	-1.6106		120.1291	172.838	CDMS
H2CS	654815.6962	19(2,17)-18(2,16)	-2.1217		232.868	335.0432	JPL
H2CO	655212.1007	9(5,5)-8(5,4)	-1.6275		291.7689	419.7879	CDMS
H2CO	655212.1249	9(5,4)-8(5,3)	-1.6275		291.7689	419.7879	CDMS
H2CO	655639.907	9(4,6)-8(4,5)	-1.8864		218.3336	314.1315	CDMS
H2CO	655643.676	9(4,5)-8(4,4)	-1.8864		218.3336	314.1315	CDMS
H2CO	656164.708	9(3,7)-8(3,6)	-1.2451		161.1605	231.8727	CDMS
H2CO	656464.572	9(3,6)-8(3,5)	-1.2448		161.1706	231.8872	CDMS
C18O	658553.2782	6-5	-2.8728	25	54.9244	79.0235	CDMS
C15N	659451.7063	N=6-5,J=13/2-11/2,F=7-6	-1.1721		55.0095	79.1459	CDMS
13COv=0	661067.2766	6-5	-2.8687	64	55.1341	79.3252	CDMS
H2CS	661130.8765	19(1,18)-18(1,17)	-1.5808		207.88	299.0912	JPL
H2CO	662209.1514	9(2,7)-8(2,6)	-1.601		120.6203	173.5447	CDMS
H2S	665393.738	4(2,2)-4(1,3)	-2.2833		148.1406	213.1427	CDMS
SO3&Sigma;v=0	668215.3905	6(6)-5(4)	-5.9073		16.979	24.4289	JPL
SO3&Sigma;v=0	673138.7015	18(19)-18(18)	-3.8216		254.5243	366.2016	JPL
C17O	674009.184	J=6-5,F=17/2-15/2	-3.484	6.6	56.2136	80.8784	CDMS
C34Sv=0	674473.6177	14-13	-0.5327	3.9	146.2866	147.4674	CDMS
H2CO	674809.784	9(1,8)-8(1,7)	-1.0452		98.4197	141.6032	CDMS
H2CS	675038.9992	20(1,20)-19(1,19)	-1.5729		223.3254	321.3136	JPL
SO3&Sigma;v=0	678167.1661	14(15)-15(14)	-5.7283		154.0218	221.6017	JPL
CNv=0	680263.9671	N=6-5,J=13/2-11/2,F=15/2-13/2	-1.284	  b	56.7448	81.6426	CDMS
H2CS	682560.2504	20(0,20)-19(0,19)	-2.0266		217.0282	312.2534	JPL
CSv=0	685435.9238	14-13	-0.5169	25	148.665	213.8945	CDMS
H2CS	685676.4642	20(2,19)-19(2,18)	-2.1042		254.1243	365.6261	JPL
H2CS	686657.7492	20(3,18)-19(3,17)	-1.7268		299.9	431.4867	JPL
H2CS	686796.4073	20(3,17)-19(3,16)	-1.7266		299.9132	431.5057	JPL
H2S	687303.468	2(0,2)-1(1,1)	-2.1775		15.0901	21.7114	CDMS
SO3&Sigma;v=0	687456.3635	15(16)-14(15)	-1.2676		176.6431	254.1486	JPL
SO3&Sigma;v=0	688203.5746	16(16)-15(15)	-1.249		181.3601	260.9352	JPL
HC15Nv=0	688275.7768	8-7	-0.0026		80.3653	115.6271	JPL
SO3&Sigma;v=0	688734.9805	17(16)-16(15)	-1.2089	54.1	175.5659	252.5987	JPL
H2CS	689508.2928	20(2,18)-19(2,17)	-2.1008		254.7103	366.4692	JPL
H13CNv=0	690552.079	J=8-7	-0.0286		80.6313	116.0112	CDMS
COv=0	691473.0763	6-5	-2.8193	100	57.6704	82.9744	CDMS
H2CO	691921.0083	3(2,1)-4(0,4)	-5.7384		24.2597	34.9041	CDMS
13CSv=0	693233.7468	15-14	-0.5302		161.9265	232.9748	CDMS
SO3&Sigma;v=0	693269.4306	12(12)-12(11)	-3.4902	3.2	97.9646	140.9484	JPL
N2D+	693806.156	J=9-8	-0.0399		92.5848	133.2081	CDMS
H13CO+	693876.2612	8-7	0.2386	14	81.0188	116.5673	CDMS
H2CS	695752.4749	20(1,19)-19(1,18)	-1.5612		229.933	330.8204	JPL
CCHv=0	698541.554	N=8-7,J=17/2-15/2,F=9-8	-1.6837		81.5652	117.3535	JPL
H2CO	701370.4706	10(1,10)-9(1,9)	-0.9976		113.705	163.5952	CDMS
SO3&Sigma;v=0	702065.3892	7(8)-7(6)	-5.4846		33.0499	47.5512	JPL
H2S	708470.7404	3(1,2)-3(0,3)	-1.8818		71.4243	102.7643	CDMS
H2CS	708636.2684	21(1,21)-20(1,20)	-1.5575		245.8423	353.7102	JPL
HCNv=0	708877.0051	J=8-7	0.0027		82.7713	119.0888	CDMS
HCO+v=0	713341.2278	8-7	0.2533	24.7	83.2919	119.8378	CDMS
SO3&Sigma;v=0	715616.8933	19(20)-19(19)	-3.8527		281.7755	405.4098	JPL
H2CS	716236.3076	21(0,21)-20(0,20)	-2.0122		239.796	345.011	JPL
H2CO	716938.3682	10(0,10)-9(0,9)	-1.4418		108.5464	156.1732	CDMS
